Date,Open,High,Low,Close,Adj Close
12-Aug-14,7688.8,7880.5,7654.8,7874.25,7874.25
19-Aug-14,7901,7968.25,7855.95,7906.3,7906.3
26-Aug-14,7874.5,8035,7862.45,8027.7,8027.7
2-Sep-14,8038.6,8180.2,8036.55,8173.9,8173.9
9-Sep-14,8161.9,8174.55,8030,8042,8042
16-Sep-14,8036.6,8160.9,7925.15,8146.3,8146.3
23-Sep-14,8144.4,8159.75,7841.8,7958.9,7958.9
30-Sep-14,7948.8,8030.9,7923.85,7945.55,7945.55
7-Oct-14,7897.4,7972.35,7796,7884.25,7884.25
14-Oct-14,7923.25,7928,7723.85,7879.4,7879.4
21-Oct-14,7906.15,8064.4,7874.35,7991.7,7991.7
28-Oct-14,8002.4,8350.6,7995.05,8324.15,8324.15
4-Nov-14,8351.25,8383.05,8290.25,8344.25,8344.25
11-Nov-14,8354.1,8438.1,8320.35,8430.75,8430.75
18-Nov-14,8441.25,8534.65,8353.15,8530.15,8530.15
25-Nov-14,8530.8,8623,8429.45,8555.9,8555.9
2-Dec-14,8535.45,8626.95,8432.25,8438.25,8438.25
9-Dec-14,8439.3,8444.5,8152.5,8219.6,8219.6
16-Dec-14,8172.6,8330.95,7961.35,8324,8324
23-Dec-14,8324.6,8364.75,8147.95,8246.3,8246.3
30-Dec-14,8260.3,8445.6,8220.55,8378.4,8378.4
6-Jan-15,8325.3,8332.6,8065.45,8323,8323
13-Jan-15,8346.15,8570.95,8236.65,8550.7,8550.7
20-Jan-15,8575.1,8866.4,8574.5,8835.6,8835.6
27-Jan-15,8871.35,8996.6,8751.1,8797.4,8797.4
3-Feb-15,8823.15,8838.45,8516.35,8526.35,8526.35
10-Feb-15,8478.1,8870.1,8470.5,8809.35,8809.35
17-Feb-15,8811.55,8913.45,8736.1,8754.95,8754.95
24-Feb-15,8772.9,8972.35,8669.45,8956.75,8956.75
3-Mar-15,8962.85,9119.2,8740.45,8756.75,8756.75
10-Mar-15,8769.75,8849.75,8612,8633.15,8633.15
17-Mar-15,8689.1,8788.2,8540.55,8550.9,8550.9
24-Mar-15,8537.05,8627.75,8269.15,8492.3,8492.3
31-Mar-15,8527.6,8667.55,8454.15,8659.9,8659.9
7-Apr-15,8684.45,8841.65,8586.85,8834,8834
14-Apr-15,8757.05,8760,8422.75,8448.1,8448.1
21-Apr-15,8416.1,8504.95,8202.35,8213.8,8213.8
28-Apr-15,8215.55,8346,8144.75,8331.95,8331.95
5-May-15,8338.4,8355.65,7997.15,8325.25,8325.25
12-May-15,8326.15,8384.6,8089.8,8373.65,8373.65
19-May-15,8356.2,8489.55,8335,8370.25,8370.25
26-May-15,8377.1,8467.15,8270.15,8433.4,8433.4
2-Jun-15,8442.8,8445.35,8030.55,8044.15,8044.15
9-Jun-15,8026.5,8163.05,7940.3,8013.9,8013.9
16-Jun-15,8004.2,8369.45,7952.35,8353.1,8353.1
23-Jun-15,8377.45,8423.15,8195.65,8318.4,8318.4
